,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
285,Our President,"$507,268",CJ Entertainment,Documentary,Unrated,"June 2, 2017",1 hrs. 49 min.,N/A,N/A,N/A,N/A
286,Breathe (2017),"$490,131",Bleecker Street,Drama,PG-13,"October 13, 2017",1 hrs. 57 min.,N/A,Andy Serkis,N/A,"Andrew Garfield,Claire Foy"
287,Once Upon A Time,"$485,728",Well Go USA,Foreign,Unrated,"August 11, 2017",1 hrs. 48 min.,N/A,N/A,N/A,N/A
288,Confidential Assignment,"$475,618",CJ Entertainment,Action Comedy,Unrated,"January 27, 2017",2 hrs. 5 min.,N/A,N/A,N/A,N/A
289,Beach Rats,"$473,771",Neon,Drama,R,"August 25, 2017",1 hrs. 38 min.,N/A,N/A,N/A,N/A
290,Duckweed,"$471,575",China Lion,Comedy,Unrated,"February 10, 2017",1 hrs. 42 min.,N/A,N/A,N/A,N/A
291,DCI 2017 Tour Premeire,"$467,817",Fathom,Documentary,Unrated,"June 22, 2017",2 hrs. 0 min.,N/A,N/A,N/A,N/A
292,Phillauri,"$467,596",FIP,Romantic Comedy,Not Yet Rated,"March 24, 2017",2 hrs. 18 min.,N/A,N/A,N/A,N/A
293,Chasing the Dragon,"$456,854",Well Go USA,Drama / Thriller,Unrated,"September 29, 2017",2 hrs. 8 min.,N/A,N/A,N/A,Donnie Yen
294,Sailor Moon R: The Movie,"$452,053",Eleven Arts,Animation,Unrated,"January 19, 2017",1 hrs. 0 min.,N/A,N/A,N/A,N/A
295,Song to Song,"$443,684",Broad Green Pictures,Drama,R,"March 17, 2017",2 hrs. 8 min.,N/A,Terrence Malick,N/A,"Michael Fassbender,Ryan Gosling,Rooney Mara,Natalie Portman,Cate Blanchett,Holly Hunter,Val Kilmer,Tom Sturridge"
296,One Piece Film: Gold,"$423,593",FUNimation Films,Animation,Unrated,"January 10, 2017",2 hrs. 0 min.,N/A,N/A,N/A,N/A
